Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2015;SI;Integrated foreground synergy;5954767672734150,5485081027172277;47;34;;183;233
2016;ZG;Sharable logistical instruction set;1376910945764891,8041631349517756,2697688583917184;14;7;;371;616
2015;GVaR;Synergized asynchronous encryption;4478081765633457,4736383437295147;11;18;;570;935
2013;J;Monitored even-keeled initiative;8021345340262535,9264876264363724,9357483591910432;7;;Kramerland;543;640
2015;HBaF;Focused maximized utilization;1135004726057093;21;;Kristinashire;680;749
2014;AaS;Optional heuristic portal;9977073232858875,7412604949576097,8748367107449062;22;;Port Jakefort;642;942
2013;PI;Persistent bandwidth-monitored budgetary management;8845454042159474,6337438064578677;4;29;;170;639
2015;RaS;Future-proofed maximized synergy;5485081027172277;1;;North Stephanie;454;973
2016;W;Adaptive bifurcated function;7159346387032080,2487313480315695;25;;Staceyton;430;823
2016;HL;Cloned transitional capacity;4541272142642528,2262346136725360,2354218094325113;30;22;;263;948
2014;GVaR;Assimilated web-enabled collaboration;6467024971475515;27;25;;468;846
2015;RaS;Networked local portal;2680213629710193;35;;Darrenmouth;7;708
2015;AHaP;Organic dedicated knowledgebase;5485081027172277,1376910945764891;24;5;;469;691
2013;NaS;Digitized grid-enabled monitoring;6337438064578677,7186917466536994,2354218094325113;42;33;;76;836
2014;B;Reduced analyzing task-force;6413140277984870,9722744349841064;17;;Jasonchester;362;409
2013;W;Multi-tiered local info-mediaries;9143802460662726,6467024971475515;41;;West Tracibury;659;860
2015;BI;Object-based optimal array;9075225650777316,7532796691578058,6268449287730388;26;;Andrewsburgh;142;678
2016;F;Face-to-face web-enabled moratorium;9264876264363724,7882810928845952,5649357631317748;3;;Karenmouth;244;309
2015;JHaP;Horizontal non-volatile intranet;9611539741215920;19;33;;619;763
2014;JHaP;Focused multi-tasking synergy;7882810928845952,9979662463574292,1965133409445603;33;5;;482;739
2015;G;Networked clear-thinking budgetary management;6413140277984870,7043858660461973,9977073232858875;16;19;;592;727
2016;FI;Triple-buffered responsive open system;3722297188543195,9357483591910432;19;4;;564;622
2015;RaS;Re-contextualized optimal functionalities;7532796691578058,2262346136725360;40;;Emilytown;436;920
2014;YI;Seamless incremental projection;2680213629710193,4744077090897343;37;25;;51;541
2014;AHaP;Business-focused impactful synergy;5239942509087044,9655811696159994;6;29;;750;831
2015;NL;Quality-focused multimedia synergy;2618873884046651,5327108447296812;44;;Phelpston;328;948
2014;JHaP;Ameliorated mobile migration;5649357631317748,9477538211420820;28;47;;196;931
2013;GVaR;Fully-configurable value-added Internet solution;9941630418391841,9407289539669638;31;4;;345;959
2013;T;Virtual attitude-oriented emulation;2348327453231091,9977073232858875;44;9;;437;571
2013;H;Triple-buffered fault-tolerant superstructure;5239942509087044,1638745937944369,9821346348660847;3;;Jasonborough;16;139
2014;BP;Face-to-face radical core;9407289539669638,2922930725706889;40;47;;166;249
2015;AHaM;Multi-tiered intermediate data-warehouse;8031324513185618,7338126532305121;46;8;;80;910
2015;S;Multi-tiered multimedia focus group;7186917466536994,8031405438641992,7159346387032080;50;;Padillabury;763;854
2016;JRaH;Down-sized well-modulated Local Area Network;9477538211420820,7159346387032080;49;;West Robertfurt;363;430
2015;FSaG;Fully-configurable coherent Internet solution;9611539741215920,7412604949576097,9977073232858875;19;39;;673;990
2015;JI;Front-line static standardization;6557680333178323,2922930725706889,2348327453231091;22;;East Theodore;406;657
2013;JI;Reverse-engineered secondary productivity;7683234841793745,1376910945764891,5485081027172277;21;;Jeanborough;479;861
2016;PMaH;Inverse optimal circuit;5327108447296812,8031324513185618;48;34;;168;205
2013;Z;Operative optimal info-mediaries;2137128760644423,9264287531729077;40;;Debramouth;5;482
2015;FI;Persevering fault-tolerant forecast;2618873884046651;34;21;;22;76
2016;NL;Realigned solution-oriented data-warehouse;5262528182041271,6467024971475515,5700469223617587;50;;Floreston;333;655
2015;YI;Monitored high-level architecture;9606486478028672,5239942509087044,8031405438641992;25;6;;325;500
2016;MI;Balanced even-keeled challenge;5893293071812901,4073227496418805;39;;Tylerport;245;675
2016;HKaT;Enhanced even-keeled leverage;7159346387032080,2637674440233374,6328867226130339;14;;New Haroldfurt;109;429
2013;F;Inverse client-driven focus group;5244357431315552,9357483591910432,7412604949576097;19;;Nicolehaven;659;725
2014;BP;Operative mission-critical alliance;2354218094325113,2637674440233374,7882810928845952;32;5;;414;437
2014;F;Innovative web-enabled knowledge user;6891679769008337,2137128760644423;28;;Changfort;259;876
2014;ZG;Polarized heuristic adapter;9655811696159994;50;5;;80;991
2015;AHaM;Centralized next generation moderator;1638745937944369,4744077090897343;37;43;;58;740
2014;RL;Balanced interactive framework;3144341430664049;17;;Masonville;610;865
2016;P;Function-based neutral installation;9885156202210321;17;22;;297;761
2013;HaS;Diverse stable archive;5700469223617587;49;30;;329;866
2013;S;Inverse bifurcated pricing structure;2143271149416300,7931231762362917;4;;Williamsmouth;189;259
2015;GVaR;Focused web-enabled process improvement;8041631349517756;20;34;;589;683
2016;VGaA;Customer-focused analyzing intranet;4541272142642528,1376910945764891,1135004726057093;5;36;;8;500
2016;H;Self-enabling 24hour Graphical User Interface;9264876264363724;39;;Richmondview;381;882
2015;AaS;Decentralized demand-driven ability;8936625000762564,5244357431315552;18;;Seanstad;223;500
2014;HP;Decentralized executive adapter;3998492042499790,9129638715325223;15;18;;239;453
2016;ZG;Sharable dedicated monitoring;5954767672734150;30;36;;789;804
2015;Z;Customer-focused local projection;7159346387032080,3144341430664049;19;;East Sonyahaven;545;975
2016;HL;Expanded analyzing migration;2275799333779168;34;41;;437;898
2016;BWaH;Visionary asynchronous core;8845454042159474;26;;South Suzanne;11;890
2013;BWaH;Implemented 4thgeneration initiative;9838454792036006,7089503135500102;29;;South Joshuastad;186;399
2013;PI;Diverse systemic neural-net;7338126532305121;2;9;;709;860
2015;HL;Persistent content-based system engine;5954767672734150,7882810928845952;19;28;;504;872
2014;PMaH;Secured coherent algorithm;9606486478028672,2137128760644423,4478081765633457;49;48;;350;836
2016;LI;Progressive coherent benchmark;9655811696159994;13;17;;5;213
2013;RL;Exclusive homogeneous contingency;4744077090897343;9;;Danielsfort;287;573
2013;HL;Persevering bandwidth-monitored firmware;2922930725706889;11;21;;77;787
2015;HP;Visionary fault-tolerant website;2680213629710193;17;43;;380;701
2016;YI;Stand-alone scalable system engine;7882810928845952,4541272142642528;12;21;;462;799
2014;BWaH;Enhanced multimedia success;9838454792036006;25;;Chaneyside;309;451
2014;LI;Cross-group motivating structure;5700469223617587;22;44;;145;684
2013;NaS;Sharable background leverage;9264876264363724,7532796691578058;10;11;;287;538
2016;AHaM;Vision-oriented well-modulated support;2348327453231091,2680213629710193,2447378201037990;11;10;;155;951
2015;N;Centralized demand-driven open system;6413140277984870,1674773401625827;47;;Victoriaville;554;600
2013;FI;Digitized bandwidth-monitored architecture;2637674440233374,3722297188543195;32;33;;383;486
2014;RL;Universal holistic collaboration;1674773401625827,2137128760644423,9143802460662726;24;;Davisstad;360;713
2015;HaS;Realigned mobile core;4073227496418805;50;30;;486;752
2015;HaS;Synergistic exuding toolset;9722744349841064,5239942509087044,9655811696159994;45;14;;109;561
2014;T;Persistent bifurcated instruction set;9606486478028672,6891679769008337,9129638715325223;7;31;;412;528
2013;NL;Networked radical implementation;6601376839046843,3998492042499790,1135004726057093;43;;South Matthew;359;655
2016;N;Enterprise-wide bifurcated portal;9129638715325223;34;;West Kyle;190;773
2015;TG;Synergistic mobile flexibility;9143802460662726,1376910945764891;45;;Danielhaven;228;738
2014;MP;Decentralized even-keeled task-force;6467024971475515;45;27;;343;776
2015;JRaH;Right-sized incremental system engine;8031324513185618;38;;Jenniferport;64;929
2015;JRaH;Total maximized throughput;5262540415992174,4541272142642528,5244357431315552;24;;Lake Jennifer;131;495
2016;JRaH;Cross-group object-oriented database;2137128760644423,6891679769008337;26;;New Stephen;244;598
2014;D;Open-source static instruction set;6832903342497770,4478081765633457,9407289539669638;47;6;;676;919
2016;F;Secured systematic moratorium;2354218094325113,9264287531729077;2;;Stephanieview;472;633
2013;S;Operative exuding attitude;2629063971493209;16;;Rossborough;371;763
2016;BG;Upgradable global initiative;1750367399155058,7186917466536994;8;34;;51;165
2016;NL;Pre-emptive empowering secured line;4671743840601591;30;;Lanehaven;62;886
2014;JRaH;Universal user-facing installation;4993909389282629,9129638715325223;43;;Port Jennyshire;292;818
2015;VGaA;Sharable responsive infrastructure;1582807585616034,3144341430664049,9722744349841064;16;11;;871;873
2014;BI;Optional reciprocal product;4736383437295147,2348327453231091,8031405438641992;9;;North Karenburgh;42;795
2015;JHaP;Triple-buffered holistic Internet solution;2354218094325113,1376910945764891,8021345340262535;13;40;;393;571
2013;A;Re-engineered grid-enabled knowledge user;9885156202210321,5954767672734150;40;;East Ericview;121;715
2016;NL;Cloned dedicated hardware;2447378201037990;32;;Austinville;89;369
2015;SI;Upgradable background initiative;9722744349841064,4478081765633457,9129638715325223;41;9;;1;865
2015;JHaP;Managed 3rdgeneration system engine;6413140277984870,1376910945764891,2275799333779168;46;17;;229;552
2014;LI;Focused uniform installation;7514631069021629,9407289539669638;8;49;;30;668
2014;JHaP;Triple-buffered system-worthy intranet;5649357631317748,5700469223617587;49;20;;34;220
2013;F;Devolved reciprocal Local Area Network;9941630418391841,6193227499902560,8021345340262535;47;;Lake Timothy;144;411
2016;AaS;Switchable stable frame;7338126532305121,1135004726057093;45;;Wallsshire;124;450
2014;S;Optional grid-enabled array;3722297188543195;34;;Lake Joshua;20;854
2015;HBaF;Sharable value-added implementation;6268449287730388;15;;Kevinbury;25;290
2013;B;User-centric web-enabled workforce;4671743840601591,2262346136725360,9611539741215920;6;;Bautistaburgh;597;873
2014;Z;Team-oriented analyzing solution;3144341430664049,9264876264363724,7338126532305121;46;;Smithhaven;141;141
2013;HKaT;Automated composite secured line;2275799333779168;22;;Harrisontown;156;461
2016;LI;Profit-focused foreground projection;6557680333178323,5893293071812901;29;48;;196;761
2015;YI;Function-based content-based hardware;2680213629710193,4744077090897343,5649357631317748;44;3;;181;532
2013;F;Enterprise-wide responsive superstructure;6891679769008337,9264876264363724,8021345340262535;38;;Pamelashire;246;778
2014;JI;Multi-tiered analyzing standardization;8845454042159474,1088342601060931,9129638715325223;25;;Port Chrisburgh;595;768
2014;TG;Centralized well-modulated forecast;9655811696159994,8533292199274586;34;;Williamsberg;281;439
2013;RL;Multi-tiered dynamic approach;6328867226130339;45;;West Stephenstad;832;959
2015;MI;Realigned client-driven help-desk;4671743840601591,2637674440233374,2922930725706889;47;;East Victor;365;700
2015;JRaH;Fully-configurable client-driven website;9357483591910432,8748367107449062;24;;Figueroaton;685;960
2015;MP;Compatible logistical secured line;3235375320367048;39;32;;64;463
2014;JRaH;Multi-channeled asynchronous workforce;2904391767971119,6337438064578677,8845454042159474;40;;New Nicholas;126;359
2016;TG;Open-architected transitional matrix;2354218094325113,8533292199274586;41;;South James;82;835
2014;T;Robust user-facing algorithm;1376910945764891,9977073232858875,7532796691578058;42;49;;661;942
2013;J;Down-sized real-time functionalities;8031324513185618;6;;Tylermouth;376;379
2015;H;Multi-channeled multi-tasking migration;6557680333178323,5510528010958883;6;;Port Alisonbury;117;227
2013;A;Function-based attitude-oriented support;2354218094325113,8533292199274586,8936625000762564;7;;Port Jacob;337;591
2016;Z;Right-sized methodical moderator;7186917466536994,5649357631317748;3;;North Douglas;3;510
2013;VGaA;Open-source zero-defect frame;6193227499902560;14;27;;3;492
2016;F;Team-oriented motivating flexibility;8031405438641992,4736383437295147,9977073232858875;31;;Laurahaven;693;813
2016;W;Triple-buffered empowering task-force;2503751282303117;45;;Lisaview;19;595
2014;D;Profound client-driven core;9885156202210321,8041631349517756,2922930725706889;33;34;;130;351
2014;CMaR;Intuitive bottom-line strategy;1750367399155058;27;;Lake Aliciaside;607;808
2013;JI;Synchronized didactic toolset;6337438064578677,3227445512800622;1;;Port Michael;479;894
2013;HL;Robust encompassing migration;9655811696159994,8748367107449062;49;43;;152;975
2015;PMaH;Fundamental 5thgeneration standardization;9357483591910432;45;18;;619;797
2014;BI;Team-oriented interactive artificial intelligence;1088342601060931,9722744349841064;21;;North Patricia;184;232
2016;H;Realigned systemic knowledge user;6328867226130339,5954767672734150;13;;Lake Kristinburgh;575;678
2015;H;Profound composite secured line;6467024971475515;19;;Frankstad;326;674
2013;WRaP;Ameliorated 24hour project;5239942509087044;29;;Erinhaven;215;594
2016;D;Multi-channeled transitional Local Area Network;2618873884046651;26;38;;361;686
2014;TG;Adaptive logistical approach;4073227496418805;15;;Cabrerafurt;39;999
2015;PI;Proactive systematic challenge;3227445512800622,1582807585616034,1638745937944369;35;36;;743;918
2015;P;Reduced client-driven access;9655811696159994,2618873884046651,9770465873129031;48;12;;235;535
2016;HP;Customer-focused local protocol;2137128760644423,9264876264363724,7931231762362917;30;11;;399;909
2016;T;Multi-layered empowering encoding;7338126532305121;26;1;;504;800
2014;W;Expanded secondary help-desk;8305208133103079;29;;New Robert;132;739
2014;BP;Devolved bandwidth-monitored flexibility;2697688583917184,9770465873129031;27;32;;91;467
2013;FSaG;Assimilated multi-tasking solution;2137128760644423;24;1;;111;765
2013;NL;Profit-focused static info-mediaries;7683234841793745,1088342601060931;48;;Travisview;68;612
2015;WRaP;Implemented fresh-thinking frame;5649357631317748,2680213629710193;26;;North Melissa;597;952
2013;B;Distributed multi-state secured line;5244357431315552,6328867226130339;2;;South Ronaldburgh;446;507
2014;HP;Digitized full-range open system;9655811696159994;1;26;;184;707
2014;WRaP;Distributed zero-defect pricing structure;8041631349517756;28;;Johnsonville;742;767
2014;JHaP;Balanced local knowledgebase;9885156202210321,6832903342497770,5244357431315552;46;23;;124;264
2013;NL;Face-to-face hybrid extranet;2697688583917184;35;;New Betty;311;677
2015;S;Stand-alone well-modulated complexity;4478081765633457,3235375320367048,2046442917813182;8;;North Luis;64;272
2014;N;Organized didactic database;6328867226130339,9979662463574292,8748367107449062;8;;Whitneybury;446;719
2016;WL;Grass-roots cohesive budgetary management;2487313480315695,9143802460662726;32;45;;42;394
2013;VGaA;Sharable uniform projection;8031405438641992;28;8;;1;569
2016;T;Switchable value-added interface;7089503135500102;1;17;;228;825
2014;NaS;Decentralized exuding artificial intelligence;8031324513185618;26;35;;168;808
2015;MP;Pre-emptive real-time workforce;5649357631317748;41;16;;762;803
2014;MP;Digitized incremental benchmark;6328867226130339,6891679769008337,4478081765633457;47;9;;212;752
2015;SI;Decentralized interactive methodology;7043858660461973,1674773401625827;49;15;;256;551
2014;GVaR;Profound logistical Internet solution;1750367399155058;28;11;;88;628
2014;NL;Front-line responsive Internet solution;2922930725706889;42;;North Aprilport;425;774
2014;FSaG;Expanded heuristic moratorium;9477538211420820;23;49;;325;779
2014;HBaF;Proactive system-worthy encryption;2137128760644423,9357483591910432;38;;East Matthewtown;31;700
2013;JHaP;Multi-layered full-range leverage;9264287531729077,5649357631317748;48;33;;469;772
2014;PMaH;Synergistic composite utilization;3235375320367048,6337438064578677;27;26;;784;806
2014;NaS;Team-oriented real-time middleware;2629063971493209,7186917466536994;1;20;;169;184
2016;RL;Cross-group 24/7 hardware;6268449287730388;2;;Angelastad;323;876
2015;AHaP;Profound scalable archive;8021345340262535,9264287531729077,7043858660461973;12;12;;628;975
2014;PI;Team-oriented zero-defect archive;9606486478028672;35;7;;386;932
2013;Z;Reverse-engineered reciprocal structure;6832903342497770;31;;North Michellemouth;351;767
2016;CMaR;Persevering solution-oriented moratorium;2618873884046651,1750367399155058,7159346387032080;29;;East Elizabethfort;325;498
2013;B;Mandatory interactive migration;9977073232858875,9885156202210321,5239942509087044;9;;Jonesland;247;320
2016;MI;Devolved mobile attitude;7514631069021629;23;;West Lauratown;198;395
2015;BWaH;Mandatory clear-thinking pricing structure;9611539741215920;2;;East Lisa;33;581
2014;D;Function-based 24hour contingency;3235375320367048,6413140277984870,6268449287730388;24;41;;343;738
2013;WRaP;Seamless homogeneous throughput;4993909389282629;13;;West Johnberg;64;454
2016;GVaR;Vision-oriented value-added installation;3722297188543195,1965133409445603,9075225650777316;20;44;;173;886
2013;ML;Implemented systematic website;6413140277984870,5649357631317748;9;3;;17;331
2015;S;Mandatory bottom-line pricing structure;3722297188543195;36;;New Ashley;156;617
2014;NaS;Optimized intermediate complexity;2137128760644423;30;17;;306;707
2014;PMaH;Progressive grid-enabled solution;5954767672734150;46;37;;240;914
2014;BP;Extended eco-centric moratorium;4993909389282629;36;10;;93;242
2014;W;Integrated global paradigm;2143271149416300,2275799333779168,8748367107449062;21;;Lake Charlene;322;346
2015;NaS;Streamlined object-oriented paradigm;7186917466536994,8031405438641992;10;49;;251;763
2013;Z;Object-based leadingedge infrastructure;9129638715325223;45;;Tinahaven;238;373
2015;TG;Diverse incremental flexibility;1638745937944369,9885156202210321;1;;Port Johnstad;613;766
2014;YI;Public-key modular installation;9977073232858875,3722297188543195;43;25;;566;882
2016;CMaR;Ameliorated 3rdgeneration data-warehouse;2618873884046651,9129638715325223;33;;Larrytown;509;870
2016;FI;Synergistic human-resource interface;9885156202210321;35;32;;474;746
2014;G;Grass-roots disintermediate matrix;7882810928845952,1582807585616034;46;47;;874;966
2014;NL;User-centric global encoding;2680213629710193,7186917466536994;42;;North Donnaland;833;935
2015;ML;User-friendly multimedia task-force;8936625000762564,9129638715325223,8293148607193232;34;41;;57;560
2015;VGaA;Fully-configurable high-level encryption;7159346387032080,2137128760644423;28;12;;711;868
2014;HL;Synergistic reciprocal collaboration;9129638715325223,9977073232858875,7683234841793745;38;40;;215;746
2013;HP;Operative exuding utilization;2904391767971119;50;38;;239;885
2016;MP;Mandatory grid-enabled Internet solution;1638745937944369,7043858660461973,5244357431315552;1;24;;764;880
2013;BP;Team-oriented scalable access;9357483591910432,1582807585616034,2680213629710193;40;1;;430;653
2013;W;Streamlined global task-force;6193227499902560;21;;New Elizabethhaven;346;990
2014;D;Operative multi-tasking time-frame;3998492042499790,6337438064578677,4541272142642528;20;39;;28;852
2016;TG;Cloned national capability;2447378201037990,7089503135500102,6467024971475515;34;;West Jacobmouth;766;886
2015;HL;Reactive solution-oriented functionalities;9979662463574292,2046442917813182,1638745937944369;10;20;;384;718
2013;LI;Multi-channeled coherent capability;8845454042159474,2904391767971119,9264876264363724;35;18;;44;242
2015;HaS;Progressive attitude-oriented hierarchy;9821346348660847;22;31;;286;297
2013;F;Visionary bottom-line approach;9606486478028672,8305208133103079,9821346348660847;50;;Port Richardview;28;78
2014;SI;Digitized optimal task-force;4993909389282629,5239942509087044;11;42;;207;916
2013;BI;Polarized next generation instruction set;6832903342497770,5239942509087044;36;;Jacobview;561;681
2013;BWaH;Synchronized fault-tolerant data-warehouse;2618873884046651,1638745937944369;39;;Howellton;22;794
2014;JHaP;Cloned dedicated Graphical User Interface;2922930725706889,2137128760644423,7043858660461973;22;28;;170;949
2015;B;Proactive user-facing groupware;9770465873129031;9;;West Kimberly;19;647
2014;F;Ergonomic web-enabled structure;7882810928845952;50;;Gouldhaven;346;851
2015;LI;Multi-channeled foreground archive;5893293071812901,1088342601060931,7089503135500102;6;43;;506;523
2016;AHaP;Phased incremental initiative;2637674440233374;42;15;;214;520
2016;NL;Balanced eco-centric infrastructure;3144341430664049;6;;Hillstad;341;998
2016;YI;Monitored tertiary definition;2629063971493209,5649357631317748;40;47;;206;242
2016;D;Phased non-volatile system engine;8021345340262535;18;42;;270;965
2016;W;Extended incremental functionalities;4541272142642528,9264287531729077,4073227496418805;22;;Port Zacharyberg;201;886
2015;NaS;Mandatory local focus group;3144341430664049,2143271149416300;14;25;;42;962
2013;BI;Synergized client-driven contingency;5954767672734150;49;;Dalefurt;333;584
2016;AaS;Re-engineered disintermediate customer loyalty;7514631069021629;35;;East Joshua;75;344
2016;P;Implemented multimedia artificial intelligence;4744077090897343;37;3;;79;973
